Title,Production_Budget,Worldwide_Gross,Release_Year,CPI,Duration,MPAA_Rating,IMDb_Rating,Voter_Numbers,Genre
Star Wars Ep. VII: The Force Awakens,306000000,2064615817,2015,237,2h 18m,PG-13,7.8,931K,Action
Spider-Man: No Way Home,200000000,1910041582,2021,271,2h 28m,PG-13,8.3,752K,Action
The Avengers,225000000,1515100211,2012,229.6,2h 23m,PG-13,8,1.4M,Action
Top Gun: Maverick,170000000,1488732821,2022,294.4,2h 10m,PG-13,8.4,454K,Action
Star Wars Ep. VIII: The Last Jedi,262000000,1331635141,2017,245.1,2h 32m,PG-13,6.9,633K,Action
Jurassic World: Fallen Kingdom,170000000,1308323302,2018,251.1,2h 8m,PG-13,6.1,318K,Action
Beauty and the Beast,160000000,1268697483,2017,245.1,,PG,6.9,864,Animation
Aquaman,160000000,1143758700,2018,251.1,2h 23m,PG-13,6.8,476K,Action
The Lord of the Rings: The Return of the King,94000000,1120210896,2003,184,3h 21m,PG-13,9,1.8M,Action
Doctor Strange in the Multiverse of Madness,200000000,952224986,2022,294.4,2h 6m,PG-13,6.9,412K,Action
Harry Potter and the Order of the Phoenix,150000000,939619849,2007,207.3,2h 18m,PG-13,7.5,583K,Action
Minions: The Rise of Gru,80000000,938640464,2022,294.4,1h 27m,PG,6.6,64K,Animation
Spider-Man 3,258000000,894860230,2007,207.3,2h 19m,PG-13,6.3,593K,Action
Harry Potter and the Goblet of Fire,150000000,886742787,2005,195.3,2h 37m,PG-13,7.7,628K,Adventure
Ice Age: Dawn of the Dinosaurs,90000000,886686817,2009,214.5,1h 34m,PG,6.9,247K,Animation
Bohemian Rhapsody,55000000,882205260,2018,251.1,2h 14m,PG-13,7.9,540K,Biography
Ice Age: Continental Drift,95000000,879765137,2012,229.6,1h 28m,PG,6.5,211K,Animation
Spider-Man: Homecoming,175000000,878271291,2017,245.1,2h 13m,PG-13,7.4,658K,Action
Spider-Man,139000000,821706375,2002,179.9,,,,,Animation
Independence Day,75000000,817400878,1996,156.9,2h 25m,PG-13,7,577K,Action
Shrek the Third,160000000,807330936,2007,207.3,1h 33m,PG,6.1,309K,Animation
Harry Potter and the Prisoner of Azkaban,130000000,789592708,2004,188.9,2h 22m,PG,7.9,636K,Adventure
Mission: Impossible—Fallout,178000000,787176729,2018,251.1,2h 27m,PG-13,7.7,334K,Action
Suicide Squad,175000000,745744980,2016,240,2h 3m,PG-13,5.9,687K,Action
Transformers,151000000,708272592,2007,207.3,2h 24m,PG-13,7,640K,Action
The Twilight Saga: New Moon,50000000,687557727,2009,214.5,2h 10m,PG-13,4.7,287K,Adventure
"The Twilight Saga: Breaking Dawn, Part 1",127500000,686271489,2011,224.9,1h 57m,PG-13,4.9,242K,Adventure
Gravity,110000000,685710761,2013,233,1h 31m,PG-13,7.7,827K,Drama
Man of Steel,225000000,667999518,2013,233,2h 23m,PG-13,7.1,773K,Action
Interstellar,165000000,648909648,2014,236.7,2h 49m,PG-13,8.6,1.8M,Adventure
Fast Five,125000000,630163454,2011,224.9,2h 10m,PG-13,7.3,383K,Action
Hancock,150000000,624234272,2008,215.3,1h 32m,PG-13,6.4,485K,Action
Iron Man 2,170000000,621156389,2010,218.1,2h 4m,PG-13,6.9,819K,Action
Mamma Mia!,52000000,592235962,2008,215.3,1h 48m,PG-13,6.5,248K,Comedy
Tangled,260000000,583777242,2010,218.1,1h 40m,PG,7.7,456K,Animation
The Croods,135000000,573068425,2013,233,1h 38m,PG,7.2,217K,Animation
The Smurfs,110000000,563749323,2011,224.9,1h 43m,PG,5.4,91K,Animation
Kong: Skull Island,185000000,561072059,2017,245.1,1h 58m,PG-13,6.6,321K,Action
Armageddon,140000000,554600000,1998,163,2h 31m,PG-13,6.7,428K,Action
Star Wars Ep. V: The Empire Strikes Back,23000000,549001086,1980,82.4,2h 4m,PG,8.7,1.3M,Action
The Revenant,135000000,532938302,2015,237,2h 36m,R,8,805K,Action
World War Z,190000000,531861650,2013,233,1h 56m,PG-13,7,669K,Action
Venom: Let There be Carnage,110000000,501546922,2021,271,1h 37m,PG-13,5.9,225K,Action
Clash of the Titans,125000000,493214888,2010,218.1,1h 58m,PG,6.9,45K,Action
Shrek,50000000,491812794,2001,177.1,1h 30m,PG,7.9,679K,Animation
Angels & Demons,150000000,490875846,2009,214.5,2h 18m,PG-13,6.7,295K,Action
Oz the Great and Powerful,200000000,490359051,2013,233,2h 10m,PG,6.3,209K,Adventure
Maleficent: Mistress of Evil,185000000,489181357,2019,255.7,1h 59m,PG,6.6,107K,Adventure
Rio,90000000,487519809,2011,224.9,,,,,
Star Wars Ep. VI: Return of the Jedi,32500000,475105360,1983,99.6,2h 11m,PG,8.3,1.1M,Action
Rise of the Planet of the Apes,93000000,470986200,2011,224.9,1h 45m,PG-13,7.6,531K,Action
It: Chapter Two,70000000,467563955,2019,255.7,2h 49m,R,6.5,268K,Drama
Mrs. Doubtfire,25000000,441286003,1993,144.5,2h 5m,PG-13,7.1,270K,Comedy
Les Miserables,65000000,438420442,2012,229.6,2h 38m,PG-13,7.5,332K,Drama
The King’s Speech,15000000,430061213,2010,218.1,1h 58m,R,8,682K,Biography
The Mummy,80000000,416385488,1999,166.6,2h 4m,PG-13,7.1,432K,Action
Rain Man,25000000,412800000,1988,118.3,2h 13m,R,8,516K,Drama
Sing 2,85000000,404746149,2021,271,1h 50m,PG,7.4,69K,Animation
Snow White and the Huntsman,170000000,401021746,2012,229.6,2h 7m,PG-13,6.1,292K,Action
Black Adam,200000000,389642380,2022,294.4,2h 5m,PG-13,6.5,180K,Action
Godzilla: King of the Monsters,170000000,383299914,2019,255.7,2h 12m,PG-13,6,184K,Action
Fifty Shades Darker,55000000,381367046,2017,245.1,1h 58m,R,4.6,104K,Drama
Taken 2,45000000,377807404,2012,229.6,1h 32m,PG-13,6.2,309K,Action
Die Hard: With a Vengeance,90000000,366101666,1995,152.4,2h 8m,R,7.6,390K,Action
Tenet,205000000,362261526,2020,258.8,2h 30m,PG-13,7.3,505K,Action
Planet of the Apes,100000000,362211740,2001,177.1,1h 59m,PG-13,5.7,221K,Action
The Hangover 3,103000000,362000072,2013,233,1h 40m,R,5.8,317K,Comedy
Dinosaur,127500000,356148063,2000,172.2,1h 22m,PG,6.4,62K,Animation
Dumbo,170000000,353166307,2019,255.7,1h 52m,PG,6.3,77K,Adventure
Hannibal,87000000,350100280,2001,177.1,,R,8.5,256K,Crime
The Maze Runner,34000000,348319861,2014,236.7,1h 53m,PG-13,6.8,470K,Action
Rush Hour 2,90000000,347425832,2001,177.1,1h 30m,PG-13,6.6,223K,Action
Pocahontas,55000000,347100000,1995,152.4,1h 21m,G,6.7,189K,Animation
Over the Hedge,80000000,343397247,2006,201.6,1h 23m,PG,6.7,177K,Animation
Close Encounters of the Third Kind,20000000,340800479,1977,60.6,2h 18m,PG,7.6,204K,Drama
Indiana Jones and the Temple of Doom,28000000,333080271,1984,103.9,1h 58m,PG,7.5,490K,Action
22 Jump Street,50000000,331333876,2014,236.7,1h 52m,R,7,380K,Action
The Curious Case of Benjamin Button,160000000,329631958,2008,215.3,2h 46m,PG-13,7.8,653K,Drama
The Perfect Storm,120000000,328711434,2000,172.2,2h 10m,PG-13,6.5,170K,Action
Crocodile Dundee,8800000,328203506,1986,109.6,1h 37m,PG-13,6.6,107K,Action
Taken 3,48000000,327656424,2015,237,1h 48m,PG-13,6,194K,Action
Megamind,130000000,321887208,2010,218.1,1h 35m,PG,7.3,265K,Animation
The Last Airbender,150000000,319713881,2010,218.1,,PG,9.3,316K,Animation
The Conjuring,20000000,317740900,2013,233,1h 52m,R,7.5,511K,Horror
Beverly Hills Cop,15000000,316300000,1984,103.9,1h 45m,R,7.3,187K,Action
As Good as it Gets,50000000,314111923,1997,160.5,2h 19m,PG-13,7.7,301K,Comedy
The Expendables 2,100000000,311979256,2012,229.6,1h 43m,R,6.6,309K,Action
Maze Runner: The Scorch Trials,61000000,310566162,2015,237,2h 11m,PG-13,6.3,253K,Action
Chicago,30000000,306770545,2002,179.9,,PG-13,8,58K,Action
Annabelle: Creation,15000000,305384865,2017,245.1,1h 49m,R,6.5,136K,Horror
Sonic The Hedgehog,90000000,302536124,2020,258.8,1h 39m,PG,6.5,67K,Action
Hook,70000000,300854823,1991,136.2,2h 22m,PG,6.8,257K,Adventure
The Divergent Series: Insurgent,110000000,295075882,2015,237,1h 59m,PG-13,6.2,240K,Action
Elysium,120000000,286192091,2013,233,1h 49m,R,6.6,451K,Action
The Tourist,100000000,278731369,2010,218.1,,R,7,17K,Drama
The Nutty Professor,55000000,273814019,1996,156.9,1h 35m,PG-13,5.7,118K,Comedy
Lincoln,65000000,273346281,2012,229.6,,,,,
Bad Boys II,130000000,273271982,2003,184,2h 27m,R,6.6,253K,Action
"10,000 B.C.",105000000,269065678,2008,215.3,1h 49m,PG-13,5.1,132K,Action
Exodus: Gods and Kings,140000000,268314513,2014,236.7,2h 30m,PG-13,6,170K,Action
Bambi,858000,268000000,1942,16.3,1h 9m,G,7.3,145K,Animation
Real Steel,110000000,263880341,2011,224.9,2h 7m,PG-13,7,332K,Action
Robots,80000000,260636271,2005,195.3,1h 31m,PG,6.4,149K,Animation
Knight and Day,117000000,258751370,2010,218.1,1h 49m,PG-13,6.3,198K,Action
The Village,71682975,257641634,2004,188.9,1h 48m,PG-13,6.6,263K,Drama
Rush Hour 3,180000000,256585882,2007,207.3,1h 31m,PG-13,6.2,171K,Action
Cliffhanger,65000000,255000000,1993,144.5,1h 53m,R,6.5,132K,Action
The Bad Guys,70000000,250443979,2022,294.4,1h 40m,PG,6.8,40K,Animation
Terminator: Dark Fate,185000000,250367666,2019,255.7,2h 8m,R,6.2,179K,Action
Space Jam,80000000,250180384,1996,156.9,1h 28m,PG,6.5,199K,Animation
Eragon,100000000,249488115,2006,201.6,1h 44m,PG,5.1,127K,Action
Unbreakable,73243106,248099143,2000,172.2,1h 46m,PG-13,7.3,420K,Drama
Bienvenue chez les Ch'tis,16000000,247474497,2008,215.3,1h 46m,Not Rated,7.1,43K,Comedy
Pixels,90000000,244041804,2015,237,1h 45m,PG-13,5.6,146K,Action
Hercules,100000000,243388614,2014,236.7,1h 33m,G,7.3,234K,Animation
Assassin’s Creed,125000000,240759682,2016,240,1h 55m,PG-13,5.6,200K,Action
Bullet Train,85900000,238766587,2022,294.4,2h 7m,R,7.3,226K,Action
Dark Shadows,150000000,238202668,2012,229.6,1h 53m,PG-13,6.2,270K,Comedy
A Few Good Men,33000000,236500000,1992,140.3,2h 18m,R,7.7,266K,Drama
Mr. Bean’s Holiday,25000000,234981342,2007,207.3,1h 30m,G,6.4,127K,Comedy
American Pie,12000000,234723148,1999,166.6,1h 35m,R,7,409K,Comedy
Gone in 60 Seconds,103300000,232643008,2000,172.2,1h 58m,PG-13,6.5,281K,Action
The Heat,43000000,229727774,2013,233,1h 57m,R,6.6,174K,Action
Big Daddy,30000000,228641283,1999,166.6,1h 33m,PG-13,6.4,220K,Comedy
Chicken Run,42000000,227793915,2000,172.2,1h 24m,G,7.1,194K,Animation
The Imitation Game,15000000,227328585,2014,236.7,1h 54m,PG-13,8,771K,Biography
Taken,25000000,226941585,2008,215.3,1h 30m,PG-13,7.8,605K,Action
Interview with the Vampire,50000000,223564608,1994,148.2,,R,7,12K,Drama
Non-Stop,50000000,222383055,2014,236.7,1h 46m,PG-13,6.9,266K,Action
Green Lantern,200000000,219535492,2011,224.9,1h 54m,PG-13,5.5,287K,Action
What Happens in Vegas...,35000000,218535708,2008,215.3,1h 39m,PG-13,6.1,178K,Comedy
Ted 2,68000000,217214143,2015,237,1h 55m,R,6.3,212K,Comedy
Central Intelligence,50000000,217194805,2016,240,1h 47m,PG-13,6.3,193K,Action
The Emoji Movie,50000000,216564839,2017,245.1,1h 26m,PG,3.3,65K,Animation
The Patriot,110000000,215300000,2000,172.2,2h 45m,R,7.2,277K,Action
Valerian and the City of a Thousand Planets,180000000,215098356,2017,245.1,2h 16m,PG-13,6.4,183K,Action
Flightplan,55000000,214392904,2005,195.3,1h 38m,PG-13,6.3,164K,Drama
Smallfoot,80000000,213682073,2018,251.1,1h 36m,PG,6.6,40K,Animation
Creed II,50000000,213591522,2018,251.1,2h 10m,PG-13,7.1,127K,Drama
Master and Commander: The Far Side of the World,135000000,212912137,2003,184,2h 18m,PG-13,7.4,224K,Action
Ace Ventura: When Nature Calls,30000000,212400000,1995,152.4,1h 30m,PG-13,6.4,220K,Adventure
End of Days,100000000,212026975,1999,166.6,2h 2m,R,5.8,112K,Action
Immortals,75000000,211562435,2011,224.9,1h 50m,R,6,170K,Action
The Others,17000000,207765056,2001,177.1,1h 44m,PG-13,7.6,369K,Horror
S.W.A.T.,70000000,207154748,2003,184,,PG-13,7.1,,Action
Eat Pray Love,60000000,206598789,2010,218.1,2h 13m,PG-13,5.8,99K,Biography
Red Dragon,78000000,206455420,2002,179.9,2h 4m,R,7.2,276K,Crime
A Dog’s Purpose,25000000,203055427,2017,245.1,1h 40m,PG,7.2,73K,Adventure
Hairspray,75000000,202822861,2007,207.3,1h 57m,PG,6.7,132K,Comedy
Vanilla Sky,70000000,202726605,2001,177.1,2h 16m,R,6.9,270K,Fantasy
Two Weeks Notice,60000000,199043309,2002,179.9,1h 41m,PG-13,6.1,120K,Comedy
London Has Fallen,60000000,195194085,2016,240,1h 39m,R,5.9,160K,Action
The Equalizer,55000000,192903624,2014,236.7,,PG-13,5.3,13K,Action
Superman II,54000000,190400000,1981,90.9,2h 7m,PG,6.8,109K,Action
The LEGO Movie 2: The Second Part,99000000,190131035,2019,255.7,1h 47m,PG,6.6,68K,Animation
Abominable,75000000,188668517,2019,255.7,1h 37m,PG,7,39K,Animation
The Grudge,10000000,187281115,2004,188.9,1h 31m,PG-13,5.9,146K,Horror
Watchmen,138000000,186976250,2009,214.5,2h 42m,R,7.6,554K,Action
Paul Blart: Mall Cop,26000000,185904750,2009,214.5,1h 31m,PG,5.2,112K,Action
Inside Man,50000000,185798265,2006,201.6,,R,6.6,20K,Crime
Road to Perdition,80000000,183354514,2002,179.9,1h 57m,R,7.7,270K,Crime
Aliens,17000000,183300764,1986,109.6,2h 17m,R,8.4,718K,Action
Daredevil,80000000,182782518,2003,184,,R,8.6,442K,Action
Hugo,180000000,180047784,2011,224.9,2h 6m,PG,7.5,325K,Adventure
How to Lose a Guy in 10 Days,50000000,178503788,2003,184,1h 56m,PG-13,6.4,242K,Comedy
Brokeback Mountain,13900000,176980863,2005,195.3,2h 14m,R,7.7,359K,Drama
Dr. Dolittle 2,72000000,176101721,2001,177.1,1h 27m,PG,4.7,46K,Comedy
The Bucket List,45000000,174807445,2007,207.3,1h 37m,PG-13,7.4,248K,Adventure
Insidious: The Last Key,10000000,172811971,2018,251.1,1h 43m,PG-13,5.7,62K,Horror
Anchorman 2: The Legend Continues,50000000,172246223,2013,233,1h 59m,PG-13,6.3,184K,Comedy
Jackass 3D,20000000,171685793,2010,218.1,1h 34m,R,7,66K,Documentary
Cloverfield,25000000,171302226,2008,215.3,1h 25m,PG-13,7,401K,Action
Zookeeper,80000000,170805525,2011,224.9,1h 42m,PG,5.2,62K,Comedy
Ticket to Paradise,60000000,170749742,2022,294.4,1h 44m,PG-13,6.2,31K,Comedy
Starsky & Hutch,60000000,170200225,2004,188.9,1h 41m,PG-13,7,149K,Comedy
Seven Pounds,54000000,166617328,2008,215.3,2h 3m,PG-13,7.6,305K,Drama
Gemini Man,140000000,166598362,2019,255.7,1h 57m,PG-13,5.7,115K,Action
Nutty Professor II: The Klumps,84000000,166307945,2000,172.2,1h 46m,PG-13,4.4,51K,Comedy
In Time,35000000,165103952,2011,224.9,1h 49m,PG-13,6.7,414K,Action
Daddy Day Care,60000000,164285587,2003,184,1h 32m,PG,5.6,70K,Comedy
Saw III,10000000,163876815,2006,201.6,1h 48m,R,6.2,196K,Crime
Bridge of Spies,40000000,162498338,2015,237,2h 22m,PG-13,7.6,313K,Drama
The Magnificent Seven,90000000,162122642,2016,240,2h 8m,PG-13,6.8,587,Action
Payback,50000000,161626121,1999,166.6,1h 40m,R,7.1,140K,Action
"Three Billboards Outside Ebbing, Missouri",12000000,161316375,2017,245.1,1h 55m,R,8.1,508K,Comedy
Legends of the Fall,30000000,160502573,1994,148.2,2h 13m,R,7.5,169K,Drama
Underworld: Awakening,70000000,160379930,2012,229.6,1h 28m,R,6.3,156K,Action
27 Dresses,30000000,160247805,2008,215.3,1h 51m,PG-13,6.1,166K,Comedy
21,35000000,159846429,2008,215.3,2h 3m,PG-13,6.8,254K,Crime
The Jackal,60000000,159356941,1997,160.5,2h 4m,R,6.4,119K,Action
Sin City,40000000,158527918,2005,195.3,2h 4m,R,8,771K,Crime
This Means War,65000000,156974557,2012,229.6,1h 43m,PG-13,6.3,188K,Action
War Horse,70000000,156815529,2011,224.9,2h 26m,PG-13,7.2,159K,Action
The Haunted Mansion,90000000,155750628,2003,184,1h 28m,PG,5.1,50K,Comedy
Dreamgirls,75000000,155620350,2006,201.6,2h 10m,PG-13,6.6,74K,Drama
Saw II,5000000,152925093,2005,195.3,1h 33m,R,6.6,255K,Horror
Gremlins,11000000,152445347,1984,103.9,1h 46m,PG,7.3,228K,Comedy
Congo,50000000,152022333,1995,152.4,1h 49m,PG-13,5.2,46K,Action
Evita,55000000,151947179,1996,156.9,2h 15m,PG,6.3,36K,Biography
47 Ronin,175000000,151716815,2013,233,2h 8m,PG-13,6.2,162K,Action
Hustlers,20700000,150467919,2019,255.7,1h 50m,R,6.3,101K,Comedy
The General's Daughter,60000000,149705852,1999,166.6,1h 56m,R,6.4,60K,Crime
Ghost Rider: Spirit of Vengeance,57000000,149217355,2012,229.6,1h 36m,PG-13,4.3,121K,Action
Death Becomes Her,55000000,149022650,1992,140.3,1h 44m,PG-13,6.6,121K,Comedy
Step Up 2 the Streets,17500000,148586910,2008,215.3,1h 38m,PG-13,6.2,88K,Drama
Mama,15000000,148095566,2013,233,1h 40m,PG-13,6.2,183K,Fantasy
Arthur Christmas,85000000,147925045,2011,224.9,1h 37m,PG,7.1,61K,Animation
New Year’s Eve,26000000,146850273,2011,224.9,1h 58m,PG-13,5.6,87K,Comedy
The Boss Baby: Family Business,82000000,146281732,2021,271,1h 47m,PG,5.9,19K,Animation
Blades of Glory,61000000,145594548,2007,207.3,1h 33m,PG-13,6.3,170K,Comedy
Herbie: Fully Loaded,50000000,144110682,2005,195.3,1h 41m,G,4.9,49K,Adventure
Charlotte's Web,82500000,143985708,2006,201.6,1h 37m,G,6.3,43K,Adventure
National Lampoon's Animal House,3000000,141600000,1978,65.2,1h 49m,R,7.4,122K,Comedy
RED 2,84000000,141507355,2013,233,1h 56m,PG-13,6.6,173K,Action
Bad Boys,23000000,141247413,1995,152.4,1h 59m,R,6.8,268K,Action
The Jungle Book 2,20000000,139924202,2003,184,1h 12m,G,5.3,17K,Animation
Annie,65000000,139829625,2014,236.7,,,,,
Anastasia,53000000,139801096,1997,160.5,1h 34m,G,7.1,126K,Animation
17 Again,40000000,139474906,2009,214.5,1h 42m,PG-13,6.4,204K,Comedy
Die Hard,28000000,139434346,1988,118.3,2h 12m,R,8.2,879K,Action
Scream,24000000,138874789,2022,294.4,1h 54m,R,6.3,114K,Horror
Gods of Egypt,140000000,138836756,2016,240,2h 7m,PG-13,5.4,118K,Action
Contagion,60000000,137551591,2011,224.9,1h 46m,PG-13,6.8,305K,Drama
Unknown,40000000,136123083,2011,224.9,1h 53m,PG-13,6.8,263K,Action
The Princess Diaries 2: Royal Engagement,45000000,134713435,2004,188.9,1h 53m,G,5.8,83K,Comedy
The Best Exotic Marigold Hotel,10000000,134639780,2012,229.6,2h 4m,PG-13,7.2,96K,Comedy
Pokemon 2000,30000000,133946923,2000,172.2,1h 39m,G,6,23K,Animation
Babel,20000000,132121212,2006,201.6,2h 23m,R,7.5,305K,Drama
School of Rock,20000000,131944672,2003,184,1h 49m,PG-13,7.2,308K,Comedy
Munich,75000000,131492772,2005,195.3,2h 44m,R,7.5,229K,Action
Blade,45000000,131237688,1998,163,2h 44m,R,8,574K,Action
Bewitched,80000000,131159306,2005,195.3,,G,7.6,22K,Comedy
Man on Fire,60000000,130968579,2004,188.9,2h 26m,R,7.7,366K,Action
V for Vendetta,50000000,130214162,2006,201.6,2h 12m,R,8.2,1.1M,Action
Space Cowboys,65000000,128874043,2000,172.2,2h 10m,PG-13,6.5,82K,Action
Captain Underpants: The First Epic Movie,38000000,126422949,2017,245.1,1h 29m,PG,6.2,29K,Animation
Zombieland: Double Tap,48000000,125213018,2019,255.7,1h 39m,R,6.7,182K,Action
Apocalypto,40000000,121032272,2006,201.6,2h 19m,R,7.8,315K,Action
The Omen,25000000,119295584,2006,201.6,1h 51m,R,7.5,122K,Horror
Disturbia,20000000,118537627,2007,207.3,1h 45m,PG-13,6.8,237K,Crime
The Purge: Election Year,10000000,118514727,2016,240,1h 48m,R,6,103K,Action
Coyote Ugly,45000000,113916474,2000,172.2,1h 40m,PG-13,5.7,116K,Comedy
Final Destination 3,25000000,112798051,2006,201.6,1h 33m,R,5.8,144K,Horror
Good Boys,20000000,111174248,2019,255.7,1h 30m,R,6.7,75K,Adventure
Free Birds,55000000,110387072,2013,233,1h 31m,PG,5.8,25K,Animation
Hoodwinked,17500000,109843390,2006,201.6,1h 20m,PG,6.5,62K,Animation
Sideways,17000000,109726800,2004,188.9,2h 7m,R,7.5,193K,Comedy
Sanctum,30000000,108957098,2011,224.9,1h 48m,R,5.9,56K,Action
10 Cloverfield Lane,15000000,108286422,2016,240,1h 43m,PG-13,7.2,330K,Drama
Hidalgo,78000000,108086731,2004,188.9,2h 16m,PG-13,6.7,83K,Action
The American President,62000000,107822813,1995,152.4,1h 54m,PG-13,6.8,58K,Comedy
Spirit: Stallion of the Cimarron,80000000,106515310,2002,179.9,1h 23m,G,7.2,77K,Animation
Race to Witch Mountain,50000000,105103784,2009,214.5,1h 38m,PG,5.7,61K,Action
Cinderella Man,88000000,105021488,2005,195.3,2h 24m,PG-13,8,189K,Biography
Training Day,45000000,104505352,2001,177.1,2h 2m,R,7.7,439K,Action
Vicky Cristina Barcelona,16000000,104504817,2008,215.3,1h 36m,PG-13,7.1,258K,Comedy
Don’t Say a Word,50000000,104488383,2001,177.1,1h 53m,R,6.3,53K,Drama
Night School,29000000,104145633,2018,251.1,1h 51m,PG-13,5.6,42K,Comedy
Gangster Squad,60000000,104100903,2013,233,1h 53m,R,6.7,217K,Action
Saw,1200000,103880027,2004,188.9,1h 43m,R,7.6,425K,Horror
Ouija,5000000,103300632,2014,236.7,1h 29m,PG-13,4.5,54K,Horror
Blue Jasmine,18000000,102912961,2013,233,1h 38m,PG-13,7.3,204K,Comedy
The Little Prince,77500000,102028919,2015,237,1h 48m,PG,7.7,63K,Animation
The Devil Inside,1000000,101759490,2012,229.6,1h 23m,R,4.2,36K,Horror
Heaven is for Real,12000000,100913556,2014,236.7,1h 39m,PG,5.8,27K,Biography
Fight Club,65000000,100820947,1999,166.6,2h 19m,R,8.8,2.1M,Drama
The Good Shepherd,80000000,100378271,2006,201.6,2h 47m,R,6.7,104K,Drama
Alpha,51000000,99624873,2018,251.1,1h 36m,PG-13,6.6,63K,Action
Nacho Libre,32000000,99296462,2006,201.6,1h 32m,PG,5.8,89K,Comedy
The Time Machine,80000000,98983590,2002,179.9,1h 36m,PG-13,6,126K,Action
Paycheck,60000000,98819789,2003,184,1h 59m,PG-13,6.3,110K,Action
Bowfinger,55000000,98699769,1999,166.6,1h 37m,PG-13,6.5,71K,Comedy
Are We There Yet?,20000000,98114471,2005,195.3,1h 35m,PG,4.7,33K,Adventure
Green Zone,100000000,97523020,2010,218.1,1h 55m,R,6.8,138K,Action
The Rite,37000000,97143987,2011,224.9,1h 54m,PG-13,6,99K,Drama
Jarhead,72000000,96947540,2005,195.3,2h 5m,R,7,192K,Biography
The Stepford Wives,100000000,96150482,2004,188.9,1h 33m,PG-13,5.3,67K,Comedy
The Manchurian Candidate,80000000,96135872,2004,188.9,2h 9m,R,6.6,112K,Drama
Underworld,22000000,95708457,2003,184,2h 1m,R,7,272K,Action
Shooter,60000000,95538560,2007,207.3,2h 4m,R,7.1,336K,Action
Peter Pan,100000000,95255485,2003,184,1h 53m,PG,6.8,74K,Adventure
Silent Hill,50000000,94704227,2006,201.6,2h 5m,R,6.5,233K,Horror
The Woman King,50000000,94218994,2022,294.4,2h 15m,PG-13,6.7,40K,Action
The Internship,58000000,93672764,2013,233,1h 59m,PG-13,6.3,206K,Comedy
Gwoemul,12000000,92618117,2007,207.3,2h,R,7.1,123K,Drama
The Skeleton Key,40000000,92256918,2005,195.3,1h 44m,PG-13,6.5,117K,Drama
Spotlight,20000000,91902438,2015,237,2h 9m,R,8.1,471K,Biography
Treasure Planet,100000000,91800000,2002,179.9,1h 35m,PG,7.2,120K,Animation
Ben-Hur,95000000,91669648,2016,240,3h 32m,G,8.1,240K,Adventure
Overboard,12000000,91244913,2018,251.1,1h 52m,PG,6.9,61K,Comedy
Season of the Witch,40000000,91126600,2011,224.9,1h 35m,PG-13,5.4,95K,Action
King Kong,23000000,90614445,1976,56.9,3h 7m,PG-13,7.2,425K,Action
Bring it On,10000000,90453550,2000,172.2,1h 38m,PG-13,6.1,98K,Comedy
Racing Stripes,30000000,89809433,2005,195.3,1h 42m,PG,5.2,17K,Adventure
Line Walker ,10800000,89569657,2016,240,,,,,Action
Sinister,3000000,87727807,2012,229.6,1h 50m,R,6.8,256K,Horror
Sherlock Gnomes,59000000,87527651,2018,251.1,1h 26m,PG,5.2,13K,Animation
Hall Pass,68000000,87173475,2011,224.9,1h 45m,R,5.9,127K,Comedy
The Lincoln Lawyer,40000000,87145086,2011,224.9,,R,7.7,38K,Crime
Star Trek III: The Search for Spock,18000000,87000000,1984,103.9,1h 45m,PG,6.6,82K,Action
Oceans,80000000,86787530,2010,218.1,1h 24m,G,7.7,9.8K,Documentary
Date Movie,20000000,85146165,2006,201.6,1h 23m,PG-13,2.8,60K,Comedy
Final Fantasy: The Spirits Within,137000000,85131830,2001,177.1,1h 46m,PG-13,6.4,83K,Animation
Das Boot,12000000,84970337,1982,96.5,,,,,Drama
Pinocchio,2289247,84300000,1940,14,1h 57m,PG,7.8,39K,Animation
Zodiac,85000000,83080084,2007,207.3,2h 37m,R,7.7,544K,Crime
The Strangers,9000000,83051676,2008,215.3,1h 26m,R,6.1,133K,Horror
Hitman: Agent 47,35000000,82182803,2015,237,1h 36m,R,5.7,92K,Action
Reign of Fire,60000000,82150183,2002,179.9,1h 41m,PG-13,6.2,138K,Action
Tinker Tailor Soldier Spy,21000000,81428388,2011,224.9,2h 7m,R,7,203K,Drama
Hereditary,10000000,81263489,2018,251.1,2h 7m,R,7.3,318K,Drama
Hot Fuzz,16000000,80976736,2007,207.3,2h 1m,R,7.8,508K,Action
The Family,30000000,80588942,2013,233,1h 39m,PG-13,6.9,165K,Comedy
Hannibal Rising,50000000,80583311,2007,207.3,2h 1m,R,6.1,111K,Adventure
Jackass: The Movie,2000000,79282312,2002,179.9,1h 25m,R,6.6,96K,Documentary
Conan the Barbarian,20000000,79114085,1982,96.5,2h 9m,R,6.9,152K,Action
Scary Movie V,20000000,78613981,2013,233,1h 26m,PG-13,3.5,73K,Comedy
Windtalkers,115000000,77628265,2002,179.9,2h 14m,R,6.1,70K,Action
The Number 23,32000000,77593167,2007,207.3,1h 38m,R,6.4,204K,Crime
Mirrors,35000000,77220596,2008,215.3,1h 50m,R,6.1,109K,Horror
There Will Be Blood,25000000,77208672,2007,207.3,2h 38m,R,8.2,588K,Drama
Tag,28000000,77024944,2018,251.1,1h 40m,R,6.5,135K,Action
The Mechanic,42500000,76347393,2011,224.9,1h 33m,R,6.5,162K,Action
