Title,Production_Budget,Worldwide_Gross,Release_Year,CPI,Duration,MPAA_Rating,IMDb_Rating,Voter_Numbers,Genre
Matilda,25000000,9755282,1996,156.9,1h 42m,PG,6.9,155K,Comedy
Conquest of the Planet of the Apes,1700000,9700000,1972,41.8,1h 28m,PG,6.1,33K,Action
The Libertine,22000000,9448623,2005,195.3,1h 54m,R,6.2,37K,Biography
20th Century Women,7000000,9353729,2016,240,1h 59m,R,7.3,46K,Comedy
Martian Child,27000000,9352089,2007,207.3,1h 46m,PG,6.7,21K,Comedy
Kissing Jessica Stein,1500000,9345061,2002,179.9,1h 37m,R,6.6,17K,Comedy
Denial,10000000,9263940,2016,240,1h 49m,PG-13,6.7,22K,Biography
Sztuka kochania. Historia Michaliny Wislockiej,1300000,9261982,2017,245.1,,,,,Biography
Red River,3000000,9012000,1948,24,2h 13m,PG,7.8,32K,Drama
Beyond the Valley of the Dolls,1000000,9000000,1970,38.8,1h 49m,,6.1,11K,Comedy
The Inkwell,8000000,8864699,1994,148.2,1h 50m,R,6.3,1.5K,Comedy
Borg vs McEnroe,7500000,8824873,2017,245.1,1h 47m,R,6.9,33K,Biography
Battle for the Planet of the Apes,1800000,8800000,1905,,1h 33m,G,5.4,32K,Action
Stronger,30000000,8786287,2017,245.1,1h 59m,R,6.9,46K,Biography
The Rocker,15000000,8767338,2008,215.3,1h 42m,PG-13,6.2,39K,Comedy
Whatever it Takes,15000000,8735529,2000,172.2,1h 34m,PG-13,5.5,11K,Comedy
Girl,1750000,8719182,2018,251.1,1h 28m,,6.3,12K,Crime
The Last Temptation of Christ,7000000,8373585,1988,118.3,2h 44m,R,7.5,58K,Drama
Bon Voyage,20000000,8359720,2004,188.9,,,,2K,Reality-TV
Beyond the Sea,24000000,8292914,2004,188.9,1h 58m,PG-13,6.7,15K,Biography
Hard Candy,950000,8267066,2006,201.6,1h 44m,R,7,162K,Drama
La véritable histoire du Chat Botté,25000000,8208594,2011,224.9,1h 20m,G,3,1.1K,Animation
Funny Games,15000000,8200127,2008,215.3,1h 51m,R,6.5,98K,Crime
A Streetcar Named Desire,1800000,8006845,1951,26,2h 2m,PG,7.9,109K,Drama
Robin and Marian,5000000,8000000,1976,56.9,1h 46m,PG,6.5,13K,Adventure
High Noon,730000,8000000,1952,26.6,1h 25m,PG,8,105K,Drama
Nowhere Boy,1900000,7785229,2010,218.1,1h 38m,R,7.1,37K,Biography
Dheepan,9000000,7704357,2015,237,1h 55m,R,7.2,16K,Crime
The Jerky Boys,4000000,7555256,1995,152.4,1h 22m,R,4.7,2.7K,Comedy
Genius,17000000,7265283,2016,240,,PG-13,8.2,19K,Biography
Let There Be Light,3000000,7241309,2017,245.1,1h 40m,PG-13,4.4,2.9K,Drama
Under the Skin,13300000,7229933,2014,236.7,1h 48m,R,6.3,146K,Drama
Birth of the Dragon,31000000,7220490,2017,245.1,1h 35m,PG-13,5.6,8.4K,Action
The Adventures of Pluto Nash,100000000,7094995,2002,179.9,1h 35m,PG-13,3.8,26K,Action
Judas and the Black Messiah,26000000,7053949,2021,271,2h 6m,R,7.4,81K,Biography
The Prisoner of Zenda,12500000,7000000,1979,72.6,1h 41m,PG,5.1,4.7K,Adventure
Screwed,12000000,6982680,2000,172.2,1h 36m,Not Rated,4.4,365,Comedy
The Awakening,4900000,6924321,2012,229.6,1h 42m,R,6.4,67K,Drama
Truth,9600000,6842580,2015,237,,R,7.1,13K,Crime
Bran Nue Dae,6750000,6812530,2010,218.1,1h 25m,PG-13,6.2,1.9K,Comedy
Hang 'em High,1800000,6800000,1968,34.8,1h 54m,R,7,40K,Drama
Tulip Fever,25000000,6792768,2017,245.1,1h 45m,R,6.2,22K,Drama
The Forsaken,5000000,6755271,2001,177.1,1h 30m,R,5.3,8.9K,Action
Chempion mira,7000000,6739989,2021,271,,,,,Drama
Copying Beethoven,11000000,6586324,2006,201.6,1h 44m,PG-13,6.7,14K,Biography
A Journal for Jordan,25000000,6537543,2021,271,2h 11m,PG-13,5.9,2.1K,Drama
Lucky You,55000000,6521829,2007,207.3,2h 4m,PG-13,5.9,21K,Drama
The Good Thief,30000000,6460758,2003,184,1h 49m,R,6.5,11K,Action
Same Kind of Different as Me,6500000,6425632,2017,245.1,1h 59m,PG-13,6.6,8.3K,Biography
The Professor and the Madman,25000000,6353847,2019,255.7,2h 4m,Not Rated,7.2,47K,Biography
Dick,13000000,6276869,1999,166.6,,,,,
UHF,5000000,6157157,1989,124,1h 37m,PG-13,6.9,29K,Comedy
The Border,13500000,6118683,1982,96.5,1h,,7.1,893,Action
Dragonslayer,18000000,6000000,1981,90.9,1h 49m,PG,6.6,18K,Action
Le fils de l’autre,2700000,5969923,2012,229.6,1h 45m,PG-13,7.3,3.7K,Drama
Severance,10000000,5950002,2007,207.3,,R,8.7,119K,Drama
Evil Dead II,3500000,5927557,1987,113.6,1h 24m,R,7.7,167K,Comedy
Light It Up,13000000,5871603,1999,166.6,1h 39m,R,6,3.8K,Drama
Destroyer,9000000,5865489,2018,251.1,2h 1m,R,6.2,30K,Action
Catch a Fire,14000000,5782198,2006,201.6,1h 41m,PG-13,6.7,11K,Biography
Sheena,25000000,5778353,1984,103.9,1h 57m,PG,4.8,5.2K,Adventure
Get on the Bus,2400000,5691854,1996,156.9,2h,R,6.9,5.8K,Adventure
The Sun is Also a Star,9000000,5680910,2019,255.7,1h 40m,PG-13,5.9,7.6K,Drama
Underclassman,25000000,5654777,2005,195.3,1h 35m,PG-13,4.3,5.8K,Action
Once Upon a Time in America,30000000,5576072,1984,103.9,3h 49m,R,8.3,353K,Crime
Say It Isn't So,25000000,5516708,2001,177.1,1h 35m,R,5,13K,Comedy
Tucker & Dale vs. Evil,5000000,5476378,2011,224.9,1h 29m,R,7.5,182K,Comedy
Virgin Territory,38000000,5473041,2008,215.3,1h 37m,R,4.7,8.2K,Adventure
The Killer Inside Me,13000000,5453369,2010,218.1,1h 49m,R,6.1,35K,Crime
Martha Marcy May Marlene,1000000,5438911,2011,224.9,1h 42m,R,6.8,54K,Drama
Diary of the Dead,2750000,5394447,2008,215.3,1h 35m,R,5.5,48K,Fantasy
Once Upon a Time in the West,5000000,5380513,1969,36.7,2h 45m,PG-13,8.5,330K,Western
Wild Target,8000000,5314194,2010,218.1,1h 38m,PG-13,6.7,39K,Action
The Proposition,20000000,5313608,2006,201.6,1h 44m,R,7.3,53K,Crime
The House of Mirth,10000000,5149131,2000,172.2,,R,8.5,278K,Action
Hands of Stone,20000000,5031975,2016,240,1h 51m,R,6.6,17K,Biography
Invaders from Mars,12000000,4984663,1986,109.6,1h 40m,PG,5.5,9.5K,Horror
Take Shelter,4750000,4972016,2011,224.9,2h,R,7.3,102K,Drama
Hamlet 2,9000000,4934104,2008,215.3,1h 32m,R,6.3,17K,Comedy
Galaxina,5500000,4865000,1980,82.4,1h 35m,R,3.6,3.1K,Comedy
Rize,700000,4857731,2005,195.3,1h 26m,PG-13,7.1,3.3K,Documentary
90 Minutes in Heaven,5000000,4816142,2015,237,2h 1m,PG-13,4.8,4.1K,Drama
A Walk on the Moon,14000000,4741987,1999,166.6,1h 47m,R,6.6,8.8K,Drama
Pi,68000,4678513,1998,163,1h 57m,PG,7.8,40K,Animation
The Last Black Man in San Francisco,3000000,4637842,2019,255.7,2h 1m,R,7.3,20K,Drama
River's Edge,1900000,4600000,1987,113.6,1h 39m,R,6.9,19K,Crime
"Don’t Worry, He Won’t Get Far on Foot",3500000,4522504,2018,251.1,1h 54m,R,6.8,28K,Biography
Flawless,27000000,4485485,1999,166.6,1h 48m,PG-13,6.7,25K,Crime
Safety Not Guaranteed,750000,4422318,2012,229.6,1h 26m,R,6.9,127K,Adventure
Inchon,46000000,4408636,1982,96.5,2h 20m,PG,2.8,804,Drama
Simply Irresistible,6000000,4398989,1999,166.6,1h 36m,PG-13,5.2,14K,Comedy
Brian Banks,10000000,4376820,2019,255.7,1h 39m,PG-13,7.2,7.5K,Biography
Solitary Man,12500000,4360548,2010,218.1,1h 30m,R,6.3,17K,Comedy
Bogus,32000000,4357406,1996,156.9,1h 50m,PG,5.3,6.8K,Comedy
Velvet Goldmine,9000000,4313644,1998,163,1h 58m,R,6.9,36K,Drama
Flipped,14000000,4294635,2010,218.1,1h 30m,PG,7.7,91K,Comedy
Glitter,8500000,4273372,2001,177.1,,R,5.4,174,Drama
Men with Brooms,7500000,4239767,2002,179.9,1h 42m,R,5.9,4.6K,Comedy
The Gospel of John,11000000,4234355,2003,184,3h,PG-13,7.7,3.9K,Biography
Witless Protection,7500000,4151836,2008,215.3,1h 37m,PG-13,3.4,6.4K,Comedy
Kama Sutra,3000000,4109095,1997,160.5,1h 54m,Not Rated,6,11K,Crime
Flood,24000000,4084232,,,,,,,Action
Stone,22000000,4065020,2010,218.1,,,,,
Willy Wonka & the Chocolate Factory,3000000,4060635,1971,40.5,1h 40m,G,7.8,204K,Family
The Paperboy,12500000,4027663,2012,229.6,1h 47m,R,5.7,38K,Crime
There Be Dragons,36000000,4020990,2011,224.9,2h 2m,PG-13,5.7,4.8K,Biography
You Can't Take It With You,1644000,4000000,1938,14.1,2h 6m,G,7.8,26K,Comedy
Escobar: Paradise Lost,17000000,3917679,2015,237,2h,R,6.5,23K,Crime
You Kill Me,4000000,3858964,2007,207.3,1h 33m,R,6.4,19K,Comedy
Sgt. Stubby: An American Hero,25000000,3823620,2018,251.1,1h 24m,PG,6.9,2.3K,Animation
Better Luck Tomorrow,250000,3809226,2003,184,1h 41m,R,7,10K,Crime
